PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
73983;"Casa de Niños Lope de Vega";"";"";"";"METRO: Urgel  BUS: 34 , 35 , 118 , 119";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e26f68540e41c010VgnVCM2000000c205a0aRCRD";"INGLATERRA";"CALLE";"NUM";"8";"";"";"";"UBICADA EN C. P. LOPE DE VEGA";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438731";"4472019";"40.39460546257796";"-3.7232402248952865";"914 722 560";"914 722 560";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
87760;"Casa de Niños Nuestra Señora de la Fuencisla";"";"";"";"BUS: 18 , 22 , 59 , 76 , 79 , 85 , 86 RENFE: Doce de Octubre";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fdfd38d60b41c010VgnVCM2000000c205a0aRCRD";"TOMELLOSO";"CALLE";"NUM";"40";"";"";"";"UBICADA EN C.P. NTRA. SRA FUENCISLA";"MADRID";"MADRID";"28026";"4";"ALMENDRALES";"12";"USERA";"440860";"4470369";"40.37993160366385";"-3.698002522406683";"914 752 598";"914 752 598";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
73972;"Casa de Niños República de Brasil";"";"";"Planes de mejora";"BUS: 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=387f68540e41c010VgnVCM2000000c205a0aRCRD";"FUEROS";"AVENIDA";"NUM";"34";"";"";"";"UBICADA EN C. P. REPUBLICA BRASIL";"MADRID";"MADRID";"28041";"3";"SAN FERMIN";"12";"USERA";"441462";"4469081";"40.37024359769827";"-3.6895277937794146";"914 758 106";"914 758 106";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
73975;"Casa de Niños San Miguel";"";"";"";"Metro: HortalezaBus: 107 , 120 , 125 , 172";"ENSEÑANZA: Educación Infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2af68540e41c010VgnVCM2000000c205a0aRCRD";"VIRGEN DEL CARMEN";"AVENIDA";"V";"32";"";"";"";"";"MADRID";"MADRID";"28033";"4";"PINAR DEL REY";"16";"HORTALEZA";"444713";"4480618";"40.47440638983908";"-3.6522282145254072";"913 820 145";"913 820 145";"cn.sanmiguel.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5201907;"Centro  de Educación Especial Colegio Gaudem";"";"";"";"BUS: 105";"Enseñanzas  Educación especial:  Educación Básica Obligatoria";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b000325a3e78e110VgnVCM2000000c205a0aRCRD";"PLAYA DE BARLOVENTO";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28042";"4";"TIMON";"21";"BARAJAS";"449767";"4480668";"40.4732974354175";"-3.593893756961978";"913 886 477";"913 003 202";"cc.gaudem.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial"
6579;"Centro Bobath de educación de adultos";"";"";"";"Metro: Mirasierra (línea 9)  Bus: 64";"Enseñanzas   Enseñanzas Iniciales Básicas para personas adultas Educación Secundaria Obligatoria para personas adultas";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd5a3b54d771c010VgnVCM1000000b205a0aRCRD";"MIRADOR DE LA REINA";"CALLE";"V";"115";"";"";"";"";"MADRID";"MADRID";"28035";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438986";"4482476";"40.49074187160651";"-3.719959549966161";"913 767 190";"913 763 588";"secretaria@fundacionbobath.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
10936383;"Centro Bobath de Formación Profesional";"Centro Privado de Formación Profesional Específica.";"";"";"Metro: Mirasierra (línea 9).  Bus: 64, 49.";"Formación profesional de grado medio  Administración y gestión:  Gestión administrativa.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85c882fbbae4a610VgnVCM2000001f4a900aRCRD";"MIRADOR DE LA REINA";"CALLE";"V";"115";"";"";"";"";"MADRID";"MADRID";"28035";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438986";"4482476";"40.49074187160651";"-3.719959549966161";"913 767 190";"913 763 588";"secretaria@fundacionbobath.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados"
10692347;"Centro de Educación Aviation and MAintenance Group";"";"";"";"Metro: San Fermín - Orcasur (línea 3).  Bus: 123, 23, 78, 18, 22, 59, 79, 85, 86.";"Formación Profesional de grado medio  Transporte y mantenimiento de Vehículos:  Montaje de estructuras e instalación de sistema aeronaúticos.  Electricidad y electrónica:  Instalaciones electricas y automáticas.   Formación Profesional de grado superior  Electricidad y electrónica:  Sistemas electrotécnicos y automatizados.  Transorte y mantenimiento de vehículos:  Mantenimiento aeromecánico de aviciones con motor de turbina. Mantenimiento de sis temas electrónicos y aviónicos de aeronaves.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1a3fadcf2610VgnVCM1000001d4a900aRCRD";"OROVILLA";"AVENIDA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28041";"3";"SAN FERMIN";"12";"USERA";"441182";"4468699";"40.366792673998624";"-3.692769104765879";"";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados"
5756385;"Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas";"";"";"";"Metro: Villa de Vallecas (línea 1)  Bus: 103, 142";"Enseñanzas:    Enseñanzas Iniciales Básicas para personas adultas  Educación Secundaria Obligatoria para personas adultas";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4df34c16151b9210VgnVCM1000000b205a0aRCRD";"PEÑA VEIGA";"CALLE";"V";"";"";"";"";"sin número";"MADRID";"MADRID";"28031";"1";"CASCO H.VALLECAS";"18";"VILLA DE VALLECAS";"447085";"4469786";"40.376982675074494";"-3.6233343534345828";"917 787 095";"917 785 046";"vallecas@nortejoven.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6594;"Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz";"";"";"";"Metro: Artilleros (línea 9)  Bus: 100, 20, 30, 8  Bicimad: Estación 220 (calle Arroyo de las Pilillas, 6)  Aparcamiento: Encuentro (4), plaza Encuentro";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcab3b54d771c010VgnVCM1000000b205a0aRCRD";"CORREGIDOR ALONSO DE TOBAR";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28030";"5";"FONTARRON";"14";"MORATALAZ";"444903";"4472790";"40.40390156616064";"-3.6493068024925437";"914 370 219";"914 378 411";"cepa.moratalaz.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6573;"Centro de Educación de Personas Adultas (CEPA) Aluche";"";"";"";"Metro: Eugenia de Montijo (línea 5), Aluche (línea 5).  Bus: 17, 121, 31  Cercanías Renfe: Aluche (línea C5)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a27a3b54d771c010VgnVCM1000000b205a0aRCRD";"OCA&amp;Ntilde;A";"CALLE";"V";"35";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"435920";"4470749";"40.38487436458853";"-3.7549491681997784";"917 179 100";"917 171 035";"cepa.aluche.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6593;"Centro de Educación de Personas Adultas (CEPA) Arganzuela";"";"";"";"Metro: Delicias (línea 3)  Bus: 19, 247, 45, 47, 8, 86, 55, 6  Cercanías Renfe: Delicias (líneas C1, y C10)  Bicimad: Estaciones 172 (calle Bustamante, 1) y 171 (calle Embajadores, 101)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=978a3b54d771c010VgnVCM1000000b205a0aRCRD";"BATALLA DEL SALADO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28045";"5";"DELICIAS";"2";"ARGANZUELA";"440929";"4472441";"40.40048840760928";"-3.696099316089686";"915 395 395";"915 395 395";"cepa.arganzuela.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6568;"Centro de Educación de Personas Adultas (CEPA) Canillejas";"";"";"";"Metro: Las Musas (línea 7)    Bus: 28, 48";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c9a3b54d771c010VgnVCM1000000b205a0aRCRD";"MUSAS";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448402";"4476525";"40.43777090876528";"-3.6083673551337316";"917 411 860";"913 200 943";"cepa.canillejas.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6559;"Centro de Educación de Personas Adultas (CEPA) Cid Campeador";"";"";"";"Bus: 138, 17, 139  Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (antigua estación de Fanjul) (línea C5)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=71ba3b54d771c010VgnVCM1000000b205a0aRCRD";"ANSELMO LORENZO";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"434584";"4470420";"40.38180929683497";"-3.770655091542908";"917 058 402 / 650 083 284";"";"cepa.cidcampeador.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6600;"Centro de Educación de Personas Adultas (CEPA) Ciudad Lineal";"";"";"";"Metro: García Noblejas (línea 7)  Bus: 38, 4, 48, 70, 28";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d28b3b54d771c010VgnVCM1000000b205a0aRCRD";"HERMANOS GARCIA NOBLEJAS";"CALLE";"V";"70";"";"";"";"";"MADRID";"MADRID";"28037";"2";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"446376";"4475605";"40.429356738271636";"-3.632176542386335";"917 545 206";"913 045 783";"cepa.ciudadlineal.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6575;"Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde";"";"";"";"Bus: 116, 78  Cercanías Renfe: Orcasitas (línea C5)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66ca3b54d771c010VgnVCM1000000b205a0aRCRD";"FERNANDO ORTIZ";"CALLE";"V";"2";"2";"";"";"";"MADRID";"MADRID";"28041";"2";"ORCASUR";"12";"USERA";"440332";"4468758";"40.36726447837039";"-3.70278869828606";"915 651 055";"915 697 036";"cepa.daoizyvelarde.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
106258;"Centro de Educación de Personas Adultas (CEPA) Distrito Centro";"";"";"";"Metro: Noviciado (línea 2), San Bernardo (líneas 2 y 4), Tribunal (línea 1)  Bus: 147, 3, 002  Bicimad: Estaciones 12 (calle San Bernardo, 85) y 15 (calle San Vicente Ferrer, 64)";"Enseñanzas:   Preparación acceso a la universidad para mayores de 25 años Preparación para  la prueba de conocimientos constitucionales Talleres ocupacionales cofinanciados Talleres operativos para alumnado con discapacidad Enseñanzas iniciales básicas para personas adultas Educación Secundaria obligatoria para personas adultas Español para extranjeros Cursos a distancia soporte telemático: Aula Mentor";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0aea8899fc81c010VgnVCM1000000b205a0aRCRD";"SAN BERNARDO";"CALLE";"V";"70";"2";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"440078";"4475389";"40.426986172289";"-3.7064088965008097";"915 329 959";"915 329 959";"cepa.centro.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6566;"Centro de Educación de Personas Adultas (CEPA) Dulce Chacón";"";"";"";"Metro: Hortaleza (línea 4) y Parque de Santa María (línea 4)  Bus: 9, 107";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5bda3b54d771c010VgnVCM1000000b205a0aRCRD";"ABERTURA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28033";"4";"PINAR DEL REY";"16";"HORTALEZA";"444936";"4480925";"40.47719279779815";"-3.6496196128895835";"913 811 272";"917 630 931";"cepa.dulcechacon.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6565;"Centro de Educación de Personas Adultas (CEPA) Entrevías";"";"";"";"Bus: 102, 111, 103  Cercanías Renfe: Asamblea de Madrid (líneas C2, C7 y Regional)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40fa3b54d771c010VgnVCM1000000b205a0aRCRD";"SERENA";"CALLE";"V";"394";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443161";"4469765";"40.376534838436406";"-3.669555170253744";"917 861 672";"917 852 574";"cepa.entrevias.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6569;"Centro de Educación de Personas Adultas (CEPA) Fuencarral";"";"";"";"Metro: Fuencarral (línea 10)  Bus: 137, 66";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=350b3b54d771c010VgnVCM1000000b205a0aRCRD";"BRAILLE";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"441228";"4483026";"40.49585827702063";"-3.6935516755513462";"917 364 684";"917 340 489";"cepa.fuencarral.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6576;"Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo";"";"";"";"Metro: San Lorenzo (Línea 4)  Bus: 72, 87";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a1b3b54d771c010VgnVCM1000000b205a0aRCRD";"MAR AMARILLO";"CALLE";"V";"21";"";"";"";"";"MADRID";"MADRID";"28033";"4";"PINAR DEL REY";"16";"HORTALEZA";"445660";"4480645";"40.474711439309345";"-3.641055179806186";"917 637 790";"913 820 234";"cepa.maramarillo.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6572;"Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla";"";"";"";"Metro: Diego de León (líneas 4, 5 y 6).  Bus: 12, C2, 72, 73  Bicimad: Estación 191 (calle Alfonso Heredia, 1) / estación 243 (calle Cartagena, 34)  Aparcamiento: Díaz Porlier (60), calle Diego de León,64 (Príncipe de Vergara - Conde de Peñalver) / San Cayetano (36), Plaza San Cayetano";"Enseñanzas:   Francés Inglés Informática Informática-ofimática Escritura creativa Preparación para la prueba de conocimientos constitucionales Preparación acceso Ciclos Formativos Grado Superior Enseñanzas iniciales básicas para personas adultas Español para extranjeros Educación secundaria obligatoria para personas adultas Cursos a distancia Soporte Telemático: Aula Mentor";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f2b3b54d771c010VgnVCM1000000b205a0aRCRD";"ALONSO HEREDIA";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28028";"4";"GUINDALERA";"4";"SALAMANCA";"442930";"4476299";"40.43538087665309";"-3.6728658642421848";"917 261 664";"917 256 032";"cepa.joaquinsorolla.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
